listing_id,city,state,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
260613,Seattle,WA,98117,47.686489527587256,-122.36846188385236,2,1.0,1.0,1.0,135,98.0
4718820,Seattle,WA,98117,47.69024708352697,-122.3696288817652,1,1.0,1.0,1.0,35,97.0
1023693,Seattle,WA,98117,47.67720864762551,-122.36969568655506,2,1.0,1.0,1.0,115,98.0
4438871,Seattle,WA,98117,47.67685555853757,-122.36711708325348,2,1.0,1.0,1.0,86,94.0
4438160,Seattle,WA,98117,47.676632376022994,-122.3667924199138,3,2.0,2.0,2.0,150,96.0
7870538,Seattle,WA,98117,47.68713311470204,-122.37630760672914,8,2.5,3.0,3.0,225,100.0
6153532,Seattle,WA,98117,47.68800610296523,-122.36955980039434,2,1.0,1.0,1.0,118,99.0
488268,Seattle,WA,98117,47.68891704592609,-122.37586424609675,2,1.0,1.0,1.0,58,94.0
6375415,Seattle,WA,98117,47.67763444114481,-122.37543330985362,7,2.5,3.0,5.0,375,97.0
4429898,Seattle,WA,98117,47.67991670225664,-122.36710691527672,3,1.0,2.0,1.0,89,94.0
5991139,Seattle,WA,98117,47.68345242212878,-122.37618020171396,2,1.0,0.0,1.0,80,95.0
6130287,Seattle,WA,98107,47.67728571845608,-122.3746312338498,2,1.0,1.0,1.0,65,100.0
1623894,Seattle,WA,98117,47.67909006600589,-122.36967468550468,4,1.0,1.0,2.0,115,99.0
6453383,Seattle,WA,98117,47.67980166298034,-122.37506958854703,2,1.0,1.0,1.0,69,96.0
25002,Seattle,WA,98117,47.67941168994686,-122.3705396261051,4,1.0,1.0,2.0,75,98.0
5183164,Seattle,WA,98125,47.70920228619516,-122.29790107736636,2,1.0,1.0,1.0,47,96.0
2352218,Seattle,WA,98115,47.69890572099664,-122.292220158652,2,1.0,1.0,1.0,80,96.0
5695344,Seattle,WA,98125,47.70935147011535,-122.2979748746459,1,1.0,1.0,1.0,60,90.0
5403847,Seattle,WA,98125,47.71125212632585,-122.29403938927474,2,1.0,1.0,1.0,55,98.0
1187735,Seattle,WA,98125,47.70919879426465,-122.30004557945868,8,2.0,4.0,4.0,250,97.0
8976178,Seattle,WA,98125,47.713480233161256,-122.2937874338842,2,1.0,0.0,1.0,89,96.0
8717068,Seattle,WA,98115,47.69854662571059,-122.2934498654248,2,1.0,0.0,1.0,68,100.0
3308825,West Seattle,WA,98126,47.588695726625566,-122.38015011850564,2,1.0,1.0,1.0,130,99.0
8921924,Seattle,WA,98125,47.72299888677901,-122.30346221642236,1,1.0,1.0,1.0,35,100.0
2260626,Seattle,WA,98125,47.72049288585191,-122.30002676452904,2,1.0,1.0,1.0,55,88.0
7635496,Seattle,WA,98125,47.73208714730462,-122.3097813246219,1,1.0,1.0,1.0,65,95.0
8086294,Seattle,WA,98125,47.72855615329438,-122.2981587295536,1,1.0,1.0,1.0,42,100.0
1097766,Seattle,WA,98125,47.72323034005443,-122.30373182618672,2,1.0,1.0,1.0,55,96.0
670056,Seattle,WA,98125,47.725210016784686,-122.3019263436156,2,1.0,1.0,1.0,56,85.0
7069080,Seattle,WA,98125,47.72654063346948,-122.30424930417776,1,1.0,1.0,1.0,50,95.0
4701146,Seattle,WA,98125,47.721562809590296,-122.30767046180512,2,1.0,1.0,2.0,93,92.0
670021,Seattle,WA,98125,47.72588166110291,-122.30106314614146,2,1.0,1.0,1.0,54,76.0
6813623,Seattle,WA,98125,47.72991354475557,-122.30963047249357,6,2.0,3.0,3.0,240,100.0
3208667,Seattle,WA,98125,47.72776456053778,-122.2988422490676,3,1.5,1.0,3.0,62,96.0
4951079,Seattle,WA,98125,47.72702562722357,-122.30427446374632,1,1.0,1.0,1.0,72,80.0
9233533,Seattle,WA,98125,47.72043752479437,-122.30858457320112,2,1.0,1.0,1.0,95,100.0
6782993,Seattle,WA,98125,47.72202231545856,-122.30364107527308,2,1.0,1.0,2.0,53,93.0
8340819,Seattle,WA,98115,47.68845888343076,-122.31030209267946,2,2.0,1.0,1.0,65,100.0
4024844,Seattle,WA,98115,47.67736819429507,-122.31487292077117,4,1.0,1.0,1.0,80,97.0
5397134,Seattle,WA,98115,47.68039039397946,-122.31867561557928,2,1.0,0.0,1.0,105,100.0
8061699,Seattle,WA,98115,47.68308054924098,-122.31536249025812,1,1.5,1.0,1.0,40,80.0
2934389,Seattle,WA,98115,47.68790176927501,-122.32384593878214,4,1.0,2.0,2.0,93,95.0
6652199,Seattle,WA,98115,47.67647779457804,-122.31970707153437,2,1.0,1.0,1.0,100,100.0
4291,Seattle,WA,98115,47.68725100864705,-122.313130273865,2,1.0,1.0,1.0,82,92.0
7018009,Seattle,WA,98115,47.68332737252483,-122.31222676825892,6,1.0,3.0,4.0,209,94.0
7661577,Seattle,WA,98115,47.67454018986317,-122.31569226682583,4,1.0,1.0,2.0,109,100.0
7418814,Seattle,WA,98115,47.67432058812668,-122.31314586273665,4,1.0,1.0,2.0,110,98.0
4825073,Seattle,WA,98115,47.68336379408489,-122.31146741199704,4,1.0,2.0,2.0,1000,100.0
8923774,Seattle,WA,98115,47.68511442487386,-122.31830485867307,4,1.0,0.0,2.0,80,100.0
8953255,Seattle,WA,98115,47.6773292180147,-122.31783874206812,3,1.5,2.0,3.0,125,100.0
8559462,Seattle,WA,98115,47.68841032059834,-122.31731748310877,6,1.0,1.0,1.0,86,100.0
1145941,Seattle,WA,98115,47.67857299565208,-122.31337910413605,6,1.5,3.0,4.0,149,93.0
7802149,Seattle,WA,98115,47.684308990858064,-122.31310665674545,2,1.0,1.0,1.0,84,80.0
3561108,Seattle,WA,98115,47.67734736215905,-122.31495840765147,3,1.0,2.0,2.0,139,91.0
5310503,Seattle,WA,98115,47.68527201549857,-122.31755117145865,1,1.5,1.0,1.0,33,99.0
4820795,Seattle,WA,98115,47.67489522501084,-122.31379975104036,4,1.0,1.0,1.0,129,99.0
4664312,Seattle,WA,98115,47.68159649744591,-122.31840255187976,2,1.0,1.0,2.0,59,87.0
2804399,Seattle,WA,98115,47.68627137919133,-122.30964648946085,4,1.0,1.0,2.0,90,90.0
7201336,Seattle,WA,98115,47.67786643015581,-122.3204521282994,1,1.0,1.0,1.0,39,87.0
4180905,Seattle,WA,98109,47.62490007498326,-122.35210086931367,3,1.0,1.0,1.0,125,97.0
6603061,Seattle,WA,98119,47.63155931572763,-122.3620665659608,4,1.0,1.0,1.0,65,92.0
5163047,Seattle,WA,98109,47.61950452500925,-122.35274962226934,2,1.0,1.0,1.0,75,92.0
8578023,Seattle,WA,98109,47.62746847978757,-122.3569310744115,2,1.0,1.0,1.0,100,93.0
9061048,Seattle,WA,98119,47.62279340688641,-122.35886405820536,2,1.0,0.0,1.0,103,80.0
7603457,Seattle,WA,98119,47.62248720744779,-122.36191811254608,4,1.0,1.0,1.0,105,98.0
5639238,Seattle,WA,98109,47.62434027306917,-122.35364102908372,2,1.0,1.0,1.0,110,40.0
5362889,Seattle,WA,98109,47.622502741408,-122.3558351352342,4,2.0,2.0,2.0,175,96.0
7203408,Seattle,WA,98119,47.626167320095576,-122.35891050637773,4,1.0,1.0,1.0,120,96.0
544433,Seattle,WA,98109,47.62081774289543,-122.3563353110631,2,1.0,1.0,1.0,95,97.0
